ts_ms,timestamp_utc,scope,adj_eq_usd,actual_eq_usd,maint_margin_usd,initial_margin_usd,margin_ratio,calc_margin_ratio,diff,is_no_margin_sentinel,at_or_below_threshold
1784962863804,2026-07-25T07:01:03.804Z,binance_unified,60576.32,383629.89,20971.8,88267.13,2.888466,2.888466,-0.0,False,False
1784962868804,2026-07-25T07:01:08.804Z,binance_unified,61324.12,384348.21,20879.83,88117.71,2.937003,2.937003,0.0,False,False
1784962873804,2026-07-25T07:01:13.804Z,binance_unified,61337.68,384220.02,20877.48,88109.78,2.937984,2.937984,0.0,False,False
1784962878804,2026-07-25T07:01:18.804Z,binance_unified,61433.77,384236.66,20862.31,88086.65,2.944725,2.944725,0.0,False,False
1784962883804,2026-07-25T07:01:23.804Z,binance_unified,61492.62,384256.56,20850.99,88074.42,2.949147,2.949147,-0.0,False,False
1784962888804,2026-07-25T07:01:28.804Z,binance_unified,61496.83,384292.72,20851.75,88075.27,2.949241,2.949241,0.0,False,False
1784962893804,2026-07-25T07:01:33.804Z,binance_unified,61359.8,384198.01,20867.24,88103.68,2.940485,2.940485,0.0,False,False
1784962898805,2026-07-25T07:01:38.805Z,binance_unified,61387.81,384288.38,20867.15,88101.88,2.941841,2.941841,-0.0,False,False
1784962903804,2026-07-25T07:01:43.804Z,binance_unified,61567.3,384282.1,20843.62,88060.9,2.953772,2.953772,-0.0,False,False
1784962908805,2026-07-25T07:01:48.805Z,binance_unified,61503.17,384223.9,20853.82,88074.07,2.949251,2.949251,0.0,False,False
1784962913804,2026-07-25T07:01:53.804Z,binance_unified,61444.32,384236.13,20861.7,88088.52,2.945317,2.945317,0.0,False,False
1784962918806,2026-07-25T07:01:58.806Z,binance_unified,61354.55,384313.24,20878.1,88111.46,2.938704,2.938704,0.0,False,False
1784962923806,2026-07-25T07:02:03.806Z,binance_unified,61329.54,384315.42,20884.49,88117.57,2.936607,2.936607,0.0,False,False
1784962928804,2026-07-25T07:02:08.804Z,binance_unified,61390.5,384281.13,20874.03,88101.08,2.940999,2.940999,0.0,False,False
1784962933805,2026-07-25T07:02:13.805Z,binance_unified,61321.59,384209.67,20883.46,88116.14,2.93637,2.93637,-0.0,False,False
1784962938804,2026-07-25T07:02:18.804Z,binance_unified,61233.21,384258.6,20895.45,88136.81,2.930457,2.930457,0.0,False,False
1784962943804,2026-07-25T07:02:23.804Z,binance_unified,61467.69,384370.59,20863.88,88087.07,2.94613,2.94613,-0.0,False,False
1784962948804,2026-07-25T07:02:28.804Z,binance_unified,61580.88,384320.02,20846.04,88061.14,2.95408,2.95408,0.0,False,False
1784962953804,2026-07-25T07:02:33.804Z,binance_unified,61563.8,384274.5,20850.12,88063.0,2.952684,2.952684,-0.0,False,False
1784962958804,2026-07-25T07:02:38.804Z,binance_unified,61480.68,384247.88,20862.6,88080.47,2.946932,2.946932,0.0,False,False
1784962963823,2026-07-25T07:02:43.823Z,binance_unified,61511.01,384326.78,20859.57,88077.03,2.948814,2.948814,0.0,False,False
1784962968804,2026-07-25T07:02:48.804Z,binance_unified,61575.74,384404.85,20852.05,88065.18,2.952983,2.952983,0.0,False,False
1784962973805,2026-07-25T07:02:53.805Z,binance_unified,61656.48,384439.02,20841.02,88049.53,2.958419,2.958419,0.0,False,False
1784962978805,2026-07-25T07:02:58.805Z,binance_unified,61752.47,384442.72,20827.29,88029.22,2.964978,2.964978,-0.0,False,False
1784962983804,2026-07-25T07:03:03.804Z,binance_unified,61222.54,384102.06,20893.49,88140.53,2.93022,2.93022,0.0,False,False
1784962988804,2026-07-25T07:03:08.804Z,binance_unified,61364.08,384170.87,20874.33,88110.35,2.939691,2.939691,-0.0,False,False
1784962993804,2026-07-25T07:03:13.804Z,binance_unified,61387.15,384251.79,20872.65,88107.12,2.941032,2.941032,0.0,False,False
1784962998804,2026-07-25T07:03:18.804Z,binance_unified,61099.55,384113.62,20911.36,88168.34,2.921836,2.921836,0.0,False,False
1784963003804,2026-07-25T07:03:23.804Z,binance_unified,61005.91,384298.04,20926.66,88192.26,2.915224,2.915224,-0.0,False,False
1784963008804,2026-07-25T07:03:28.804Z,binance_unified,60847.36,384155.59,20950.82,88223.77,2.904295,2.904295,-0.0,False,False
1784963013804,2026-07-25T07:03:33.804Z,binance_unified,60743.69,384069.81,20961.56,88245.22,2.897861,2.897861,-0.0,False,False
1784963018804,2026-07-25T07:03:38.804Z,binance_unified,60876.3,384222.59,20946.08,88217.81,2.906333,2.906333,-0.0,False,False
1784963023804,2026-07-25T07:03:43.804Z,binance_unified,60879.1,384236.62,20944.1,88216.9,2.906743,2.906743,0.0,False,False
1784963028804,2026-07-25T07:03:48.804Z,binance_unified,60812.16,384232.1,20952.84,88229.0,2.902335,2.902335,-0.0,False,False
1784963033804,2026-07-25T07:03:53.804Z,binance_unified,60808.81,384234.22,20955.27,88229.52,2.901839,2.901839,-0.0,False,False
1784963038806,2026-07-25T07:03:58.806Z,binance_unified,60982.93,384213.63,20928.91,88187.6,2.913812,2.913812,-0.0,False,False
1784963043804,2026-07-25T07:04:03.804Z,binance_unified,60795.13,384133.15,20952.78,88228.51,2.901531,2.901531,0.0,False,False
1784963048804,2026-07-25T07:04:08.804Z,binance_unified,60721.38,384129.37,20958.52,88249.36,2.897217,2.897217,0.0,False,False
1784963053804,2026-07-25T07:04:13.804Z,binance_unified,60303.16,384189.81,21011.12,88345.66,2.87006,2.87006,0.0,False,False
1784963058805,2026-07-25T07:04:18.805Z,binance_unified,60288.3,384217.21,21015.33,88348.49,2.868778,2.868778,-0.0,False,False
1784963063805,2026-07-25T07:04:23.805Z,binance_unified,60179.2,384061.22,21021.52,88367.15,2.862743,2.862743,-0.0,False,False
1784963068818,2026-07-25T07:04:28.818Z,binance_unified,60052.53,384142.18,21040.08,88395.85,2.854197,2.854196,0.0,False,False
1784963073804,2026-07-25T07:04:33.804Z,binance_unified,59895.4,384115.12,21062.38,88431.36,2.843714,2.843714,-0.0,False,False
1784963078804,2026-07-25T07:04:38.804Z,binance_unified,59159.34,384087.21,21164.0,88596.92,2.795282,2.795282,0.0,False,False
1784963083804,2026-07-25T07:04:43.804Z,binance_unified,59295.3,384106.31,21144.58,88566.43,2.804279,2.804279,0.0,False,False
1784963088804,2026-07-25T07:04:48.804Z,binance_unified,59889.96,384383.79,21067.26,88437.76,2.842797,2.842797,0.0,False,False
1784963093805,2026-07-25T07:04:53.805Z,binance_unified,59703.89,384158.94,21090.0,88472.44,2.83091,2.83091,-0.0,False,False
1784963098805,2026-07-25T07:04:58.805Z,binance_unified,59488.45,384237.57,21122.7,88522.58,2.816327,2.816327,0.0,False,False
1784963103809,2026-07-25T07:05:03.809Z,binance_unified,59769.41,384231.25,21078.91,88458.6,2.835508,2.835508,-0.0,False,False
1784963108804,2026-07-25T07:05:08.804Z,binance_unified,59684.28,384323.28,21093.34,88481.08,2.829532,2.829532,-0.0,False,False
1784963113804,2026-07-25T07:05:13.804Z,binance_unified,59566.07,384234.26,21110.05,88505.89,2.821692,2.821692,0.0,False,False
1784963118803,2026-07-25T07:05:18.803Z,binance_unified,59687.06,384419.44,21096.71,88483.11,2.829211,2.829211,0.0,False,False
1784963123804,2026-07-25T07:05:23.804Z,binance_unified,59812.97,384474.06,21081.81,88455.99,2.837184,2.837184,-0.0,False,False
1784963128804,2026-07-25T07:05:28.804Z,binance_unified,59729.54,384443.23,21092.99,88474.87,2.831725,2.831725,-0.0,False,False
1784963133804,2026-07-25T07:05:33.804Z,binance_unified,59804.73,384357.98,21081.27,88457.26,2.836865,2.836865,-0.0,False,False
1784963138805,2026-07-25T07:05:38.805Z,binance_unified,59959.24,384451.04,21061.0,88424.64,2.846932,2.846932,0.0,False,False
1784963143804,2026-07-25T07:05:43.804Z,binance_unified,59999.35,384233.95,21052.84,88411.52,2.849941,2.849941,-0.0,False,False
1784963148804,2026-07-25T07:05:48.804Z,binance_unified,60148.42,384408.33,21033.27,88381.34,2.85968,2.85968,-0.0,False,False
1784963153804,2026-07-25T07:05:53.804Z,binance_unified,59865.64,384406.27,21071.85,88443.92,2.841024,2.841024,-0.0,False,False
1784963158811,2026-07-25T07:05:58.811Z,binance_unified,59834.27,384439.04,21074.82,88452.76,2.839135,2.839135,-0.0,False,False
1784963163818,2026-07-25T07:06:03.818Z,binance_unified,59764.13,384355.12,21082.5,88466.73,2.834775,2.834775,-0.0,False,False
1784963168805,2026-07-25T07:06:08.805Z,binance_unified,59280.99,384247.5,21145.8,88573.76,2.803441,2.803441,-0.0,False,False
1784963173805,2026-07-25T07:06:13.805Z,binance_unified,59226.99,384188.74,21150.42,88581.27,2.800275,2.800275,-0.0,False,False
1784963178804,2026-07-25T07:06:18.804Z,binance_unified,59300.36,384260.65,21140.7,88567.64,2.805033,2.805033,-0.0,False,False
1784963183844,2026-07-25T07:06:23.844Z,binance_unified,59245.8,384199.1,21142.68,88576.76,2.80219,2.80219,0.0,False,False
1784963188825,2026-07-25T07:06:28.825Z,binance_unified,59338.58,384272.7,21130.16,88560.38,2.808241,2.808241,0.0,False,False
1784963193805,2026-07-25T07:06:33.805Z,binance_unified,59300.59,384307.42,21136.24,88565.98,2.805636,2.805636,-0.0,False,False
1784963198804,2026-07-25T07:06:38.804Z,binance_unified,59316.72,384285.67,21133.7,88561.4,2.806737,2.806737,0.0,False,False
1784963203804,2026-07-25T07:06:43.804Z,binance_unified,59033.57,384226.66,21174.61,88625.1,2.787942,2.787942,0.0,False,False
1784963208804,2026-07-25T07:06:48.804Z,binance_unified,59060.72,384321.67,21174.17,88622.05,2.789282,2.789282,-0.0,False,False
1784963213804,2026-07-25T07:06:53.804Z,binance_unified,59048.5,384275.32,21176.64,88622.56,2.788379,2.788379,-0.0,False,False
1784963218805,2026-07-25T07:06:58.805Z,binance_unified,59150.83,384344.96,21162.91,88599.42,2.795023,2.795023,0.0,False,False
1784963223804,2026-07-25T07:07:03.804Z,binance_unified,59232.16,384387.66,21154.83,88582.94,2.799936,2.799936,0.0,False,False
1784963228804,2026-07-25T07:07:08.804Z,binance_unified,59082.71,384463.87,21176.37,88615.91,2.790031,2.790031,-0.0,False,False
1784963233822,2026-07-25T07:07:13.822Z,binance_unified,59057.05,384421.99,21181.4,88622.19,2.788157,2.788157,-0.0,False,False
1784963238804,2026-07-25T07:07:18.804Z,binance_unified,59110.61,384416.56,21171.95,88610.86,2.79193,2.79193,-0.0,False,False
1784963243804,2026-07-25T07:07:23.804Z,binance_unified,59187.06,384428.29,21163.44,88593.18,2.796666,2.796666,0.0,False,False
1784963248804,2026-07-25T07:07:28.804Z,binance_unified,59150.91,384411.19,21168.73,88600.06,2.794259,2.794259,0.0,False,False
1784963253806,2026-07-25T07:07:33.806Z,binance_unified,59238.98,384388.34,21155.12,88580.3,2.80022,2.80022,-0.0,False,False
1784963258803,2026-07-25T07:07:38.803Z,binance_unified,59070.94,384275.86,21177.64,88615.62,2.789307,2.789307,-0.0,False,False
1784963263804,2026-07-25T07:07:43.804Z,binance_unified,59984.17,384322.91,21051.23,88410.52,2.849437,2.849437,-0.0,False,False
1784963268804,2026-07-25T07:07:48.804Z,binance_unified,59973.4,384270.6,21050.76,88412.06,2.84899,2.84899,0.0,False,False
1784963273804,2026-07-25T07:07:53.804Z,binance_unified,60369.24,384492.79,20998.59,88329.3,2.874919,2.874919,0.0,False,False
1784963278804,2026-07-25T07:07:58.804Z,binance_unified,60309.65,384368.12,21004.86,88343.3,2.871223,2.871223,-0.0,False,False
1784963283804,2026-07-25T07:08:03.804Z,binance_unified,60007.36,384201.03,21042.78,88408.78,2.851684,2.851684,-0.0,False,False
1784963288804,2026-07-25T07:08:08.804Z,binance_unified,60045.91,384552.51,21041.32,88407.77,2.853715,2.853715,0.0,False,False
1784963293804,2026-07-25T07:08:13.804Z,binance_unified,60222.17,384519.25,21017.51,88368.55,2.865333,2.865333,-0.0,False,False
1784963298805,2026-07-25T07:08:18.805Z,binance_unified,60704.2,384511.8,20950.84,88261.49,2.897459,2.897459,0.0,False,False
1784963303804,2026-07-25T07:08:23.804Z,binance_unified,61208.77,384181.24,20874.71,88142.25,2.932197,2.932197,-0.0,False,False
1784963308804,2026-07-25T07:08:28.804Z,binance_unified,61447.74,384192.2,20840.18,88086.3,2.948523,2.948523,-0.0,False,False
1784963313804,2026-07-25T07:08:33.804Z,binance_unified,61298.69,384096.83,20860.24,88116.08,2.938543,2.938543,0.0,False,False
1784963318804,2026-07-25T07:08:38.804Z,binance_unified,61470.87,384451.71,20841.76,88086.08,2.949409,2.949409,-0.0,False,False
1784963323804,2026-07-25T07:08:43.804Z,binance_unified,61591.31,384375.62,20824.68,88060.8,2.957611,2.957611,-0.0,False,False
1784963328804,2026-07-25T07:08:48.804Z,binance_unified,61714.23,384428.69,20808.3,88033.79,2.965847,2.965847,0.0,False,False
1784963333804,2026-07-25T07:08:53.804Z,binance_unified,61541.97,384377.0,20831.39,88070.28,2.954291,2.954291,-0.0,False,False
1784963338811,2026-07-25T07:08:58.811Z,binance_unified,61731.69,384285.24,20807.9,88028.22,2.966743,2.966743,0.0,False,False
1784963343806,2026-07-25T07:09:03.806Z,binance_unified,61919.98,384413.25,20787.32,87987.07,2.978738,2.978738,0.0,False,False
1784963348805,2026-07-25T07:09:08.805Z,binance_unified,61470.41,384152.17,20843.63,88078.32,2.949122,2.949122,0.0,False,False
1784963353950,2026-07-25T07:09:13.950Z,binance_unified,61484.14,384353.0,20845.23,88079.82,2.949554,2.949554,-0.0,False,False
1784963358804,2026-07-25T07:09:18.804Z,binance_unified,61625.07,384435.81,20830.89,88050.12,2.95835,2.95835,0.0,False,False
1784963363806,2026-07-25T07:09:23.806Z,binance_unified,61577.02,384241.14,20834.04,88055.9,2.955597,2.955597,-0.0,False,False
1784963368804,2026-07-25T07:09:28.804Z,binance_unified,61714.08,384402.84,20818.59,88029.04,2.964374,2.964374,0.0,False,False
1784963373804,2026-07-25T07:09:33.804Z,binance_unified,61599.39,384384.51,20835.18,88054.21,2.956509,2.956509,0.0,False,False
1784963378806,2026-07-25T07:09:38.806Z,binance_unified,61879.19,384356.38,20798.43,87989.28,2.975185,2.975185,0.0,False,False
1784963383804,2026-07-25T07:09:43.804Z,binance_unified,61937.59,384417.13,20790.29,87978.4,2.97916,2.97916,0.0,False,False
1784963388804,2026-07-25T07:09:48.804Z,binance_unified,61859.81,384418.29,20801.81,87994.15,2.973771,2.973771,0.0,False,False
1784963393804,2026-07-25T07:09:53.804Z,binance_unified,61750.76,384375.72,20817.8,88016.11,2.966249,2.966249,0.0,False,False
1784963398804,2026-07-25T07:09:58.804Z,binance_unified,61806.37,384473.0,20805.53,88010.56,2.97067,2.97067,0.0,False,False
1784963403804,2026-07-25T07:10:03.804Z,binance_unified,61899.42,384401.12,20792.29,87986.33,2.977036,2.977036,0.0,False,False
1784963408804,2026-07-25T07:10:08.804Z,binance_unified,61952.88,384250.5,20783.75,87973.22,2.980832,2.980832,-0.0,False,False
1784963413804,2026-07-25T07:10:13.804Z,binance_unified,62643.85,384420.19,20688.14,87824.15,3.028008,3.028008,0.0,False,False
1784963418804,2026-07-25T07:10:18.804Z,binance_unified,62339.4,384326.9,20727.45,87890.16,3.007577,3.007577,0.0,False,False
1784963423810,2026-07-25T07:10:23.810Z,binance_unified,62184.61,384374.97,20747.31,87926.07,2.997238,2.997238,-0.0,False,False
1784963428816,2026-07-25T07:10:28.816Z,binance_unified,62193.51,384370.92,20745.04,87921.37,2.997994,2.997994,0.0,False,False
1784963433806,2026-07-25T07:10:33.806Z,binance_unified,62093.73,384314.24,20756.47,87945.61,2.991536,2.991536,0.0,False,False
1784963438804,2026-07-25T07:10:38.804Z,binance_unified,62068.77,384163.78,20755.09,87944.4,2.990532,2.990532,-0.0,False,False
1784963443804,2026-07-25T07:10:43.804Z,binance_unified,62405.74,384372.66,20710.81,87872.35,3.013196,3.013196,-0.0,False,False
1784963448804,2026-07-25T07:10:48.804Z,binance_unified,62609.34,384357.25,20681.39,87826.9,3.027328,3.027328,0.0,False,False
1784963453804,2026-07-25T07:10:53.804Z,binance_unified,62675.64,384441.68,20674.91,87814.23,3.031483,3.031483,0.0,False,False
1784963458804,2026-07-25T07:10:58.804Z,binance_unified,62703.25,384443.58,20670.85,87810.12,3.033414,3.033414,-0.0,False,False
1784963463804,2026-07-25T07:11:03.804Z,binance_unified,62440.67,384289.53,20702.14,87867.29,3.016146,3.016146,0.0,False,False
1784963468805,2026-07-25T07:11:08.805Z,binance_unified,62369.03,384281.1,20712.15,87880.3,3.01123,3.01123,-0.0,False,False
1784963473805,2026-07-25T07:11:13.805Z,binance_unified,62485.31,384351.98,20699.35,87853.86,3.018708,3.018708,0.0,False,False
1784963478804,2026-07-25T07:11:18.804Z,binance_unified,62315.18,384425.39,20725.1,87894.2,3.006749,3.006749,-0.0,False,False
1784963483804,2026-07-25T07:11:23.804Z,binance_unified,62480.9,384411.36,20702.99,87856.04,3.017966,3.017966,0.0,False,False
1784963488804,2026-07-25T07:11:28.804Z,binance_unified,62431.83,384375.63,20710.09,87865.16,3.014561,3.014561,0.0,False,False
1784963493805,2026-07-25T07:11:33.805Z,binance_unified,62455.24,384439.46,20709.32,87864.07,3.015803,3.015803,-0.0,False,False
1784963498804,2026-07-25T07:11:38.804Z,binance_unified,62635.22,384407.0,20688.59,87825.61,3.027524,3.027524,-0.0,False,False
1784963503804,2026-07-25T07:11:43.804Z,binance_unified,62592.77,384353.45,20694.88,87835.06,3.024553,3.024553,0.0,False,False
1784963508805,2026-07-25T07:11:48.805Z,binance_unified,62548.69,384466.15,20703.17,87845.08,3.021213,3.021213,0.0,False,False
1784963513804,2026-07-25T07:11:53.804Z,binance_unified,62653.18,384472.76,20688.15,87821.28,3.028458,3.028458,-0.0,False,False
1784963518804,2026-07-25T07:11:58.804Z,binance_unified,62775.49,384447.31,20671.07,87797.65,3.036876,3.036876,-0.0,False,False
1784963523804,2026-07-25T07:12:03.804Z,binance_unified,62780.9,384465.93,20670.86,87798.7,3.03717,3.03717,-0.0,False,False
1784963528804,2026-07-25T07:12:08.804Z,binance_unified,62867.13,384401.42,20658.46,87776.98,3.043166,3.043166,-0.0,False,False
1784963533804,2026-07-25T07:12:13.804Z,binance_unified,62867.36,384498.15,20657.99,87776.37,3.043247,3.043247,0.0,False,False
1784963538804,2026-07-25T07:12:18.804Z,binance_unified,62917.36,384407.65,20650.19,87763.54,3.046817,3.046817,0.0,False,False
1784963543804,2026-07-25T07:12:23.804Z,binance_unified,63199.98,384338.81,20610.75,87699.16,3.06636,3.06636,0.0,False,False
1784963548804,2026-07-25T07:12:28.804Z,binance_unified,63018.97,384373.83,20635.19,87740.21,3.053956,3.053956,0.0,False,False
1784963553804,2026-07-25T07:12:33.804Z,binance_unified,62974.27,384219.52,20639.22,87745.48,3.051193,3.051193,-0.0,False,False
1784963558805,2026-07-25T07:12:38.805Z,binance_unified,62895.85,384328.42,20650.31,87766.59,3.045758,3.045758,-0.0,False,False
1784963563811,2026-07-25T07:12:43.811Z,binance_unified,62798.02,384222.72,20663.08,87789.01,3.039141,3.039141,0.0,False,False
1784963568804,2026-07-25T07:12:48.804Z,binance_unified,62478.91,384159.39,20706.9,87857.77,3.017299,3.017299,-0.0,False,False
1784963573804,2026-07-25T07:12:53.804Z,binance_unified,62249.07,384163.47,20739.92,87908.0,3.001413,3.001413,-0.0,False,False
1784963578804,2026-07-25T07:12:58.804Z,binance_unified,61964.55,384182.94,20780.13,87974.31,2.981913,2.981913,0.0,False,False
1784963583804,2026-07-25T07:13:03.804Z,binance_unified,61865.1,384246.68,20802.64,87997.16,2.973907,2.973907,0.0,False,False
1784963588804,2026-07-25T07:13:08.804Z,binance_unified,61904.12,384226.36,20797.05,87989.2,2.976582,2.976582,0.0,False,False
1784963593804,2026-07-25T07:13:13.804Z,binance_unified,62061.09,384252.52,20775.64,87955.53,2.987205,2.987205,0.0,False,False
1784963598806,2026-07-25T07:13:18.806Z,binance_unified,62104.09,384267.45,20769.93,87944.01,2.990097,2.990097,-0.0,False,False
1784963603804,2026-07-25T07:13:23.804Z,binance_unified,62074.75,384265.08,20769.89,87951.64,2.98869,2.98869,0.0,False,False
1784963608804,2026-07-25T07:13:28.804Z,binance_unified,62041.44,384252.32,20772.81,87959.94,2.986666,2.986666,0.0,False,False
1784963613804,2026-07-25T07:13:33.804Z,binance_unified,62175.69,384306.13,20756.89,87929.61,2.995424,2.995424,-0.0,False,False
1784963618804,2026-07-25T07:13:38.804Z,binance_unified,62357.15,384319.22,20732.94,87890.9,3.007636,3.007636,0.0,False,False
1784963623804,2026-07-25T07:13:43.804Z,binance_unified,62224.44,384339.54,20749.61,87920.47,2.998825,2.998825,-0.0,False,False
1784963628805,2026-07-25T07:13:48.805Z,binance_unified,62458.92,384349.22,20718.12,87867.37,3.0147,3.0147,-0.0,False,False
1784963633804,2026-07-25T07:13:53.804Z,binance_unified,62626.79,384401.09,20693.17,87830.4,3.026447,3.026447,-0.0,False,False
1784963638804,2026-07-25T07:13:58.804Z,binance_unified,62514.43,384424.37,20708.69,87858.06,3.018754,3.018754,0.0,False,False
1784963643804,2026-07-25T07:14:03.804Z,binance_unified,62452.82,384307.18,20717.32,87867.46,3.014521,3.014521,0.0,False,False
1784963648805,2026-07-25T07:14:08.805Z,binance_unified,62246.09,384249.36,20746.01,87915.12,3.000389,3.000389,-0.0,False,False
1784963653804,2026-07-25T07:14:13.804Z,binance_unified,61922.2,384359.49,20790.96,87986.8,2.978323,2.978323,-0.0,False,False
1784963658805,2026-07-25T07:14:18.805Z,binance_unified,61959.75,384360.26,20786.31,87976.22,2.980796,2.980796,-0.0,False,False
1784963663805,2026-07-25T07:14:23.805Z,binance_unified,62051.68,384364.16,20773.46,87953.66,2.987065,2.987065,-0.0,False,False
1784963668806,2026-07-25T07:14:28.806Z,binance_unified,62021.82,384358.06,20774.84,87960.72,2.98543,2.98543,-0.0,False,False
1784963673804,2026-07-25T07:14:33.804Z,binance_unified,61990.05,384290.6,20775.93,87961.6,2.983744,2.983744,0.0,False,False
1784963678804,2026-07-25T07:14:38.804Z,binance_unified,62071.8,384410.35,20764.85,87944.98,2.989272,2.989272,-0.0,False,False
1784963683804,2026-07-25T07:14:43.804Z,binance_unified,62107.72,384457.06,20761.24,87937.34,2.991523,2.991523,0.0,False,False
1784963688804,2026-07-25T07:14:48.804Z,binance_unified,62202.86,384473.61,20746.98,87916.58,2.998165,2.998165,-0.0,False,False
1784963693804,2026-07-25T07:14:53.804Z,binance_unified,62144.44,384528.72,20754.81,87931.37,2.994219,2.994219,-0.0,False,False
1784963698804,2026-07-25T07:14:58.804Z,binance_unified,62145.79,384511.71,20756.2,87931.91,2.994083,2.994083,0.0,False,False
1784963703805,2026-07-25T07:15:03.805Z,binance_unified,62209.35,384503.21,20746.03,87917.3,2.998614,2.998614,-0.0,False,False
1784963708804,2026-07-25T07:15:08.804Z,binance_unified,62286.81,384548.91,20735.88,87898.24,3.003819,3.003819,-0.0,False,False
1784963714131,2026-07-25T07:15:14.131Z,binance_unified,62394.64,384497.92,20721.3,87875.43,3.011135,3.011135,0.0,False,False
1784963718813,2026-07-25T07:15:18.813Z,binance_unified,62512.92,384569.85,20706.1,87850.01,3.019058,3.019058,-0.0,False,False
1784963723804,2026-07-25T07:15:23.804Z,binance_unified,62527.67,384579.76,20704.35,87847.97,3.020026,3.020026,0.0,False,False
1784963728804,2026-07-25T07:15:28.804Z,binance_unified,62572.2,384572.27,20701.74,87837.03,3.022558,3.022558,-0.0,False,False
1784963733804,2026-07-25T07:15:33.804Z,binance_unified,62781.37,384591.8,20672.48,87790.84,3.036954,3.036954,-0.0,False,False
1784963738805,2026-07-25T07:15:38.805Z,binance_unified,62775.97,384486.73,20670.72,87789.71,3.036951,3.036951,0.0,False,False
1784963743804,2026-07-25T07:15:43.804Z,binance_unified,62843.87,384563.55,20664.42,87777.19,3.041163,3.041163,-0.0,False,False
1784963748804,2026-07-25T07:15:48.804Z,binance_unified,62884.68,384623.72,20659.34,87770.06,3.043885,3.043885,-0.0,False,False
1784963753804,2026-07-25T07:15:53.804Z,binance_unified,62887.1,384626.78,20659.42,87768.78,3.043992,3.043992,-0.0,False,False
1784963758804,2026-07-25T07:15:58.804Z,binance_unified,62861.24,384535.61,20661.3,87772.08,3.042463,3.042463,0.0,False,False
1784963763804,2026-07-25T07:16:03.804Z,binance_unified,62692.79,384554.67,20684.71,87809.92,3.030875,3.030875,-0.0,False,False
1784963768804,2026-07-25T07:16:08.804Z,binance_unified,62830.53,384551.54,20666.55,87779.98,3.040205,3.040205,-0.0,False,False
1784963773804,2026-07-25T07:16:13.804Z,binance_unified,62566.78,384403.08,20701.29,87837.22,3.022362,3.022362,-0.0,False,False
1784963778803,2026-07-25T07:16:18.803Z,binance_unified,62490.86,384381.33,20712.74,87855.02,3.017026,3.017026,-0.0,False,False
1784963783805,2026-07-25T07:16:23.805Z,binance_unified,62230.39,384247.6,20746.35,87910.57,2.999583,2.999583,0.0,False,False
1784963788804,2026-07-25T07:16:28.804Z,binance_unified,62451.1,384428.59,20718.09,87863.14,3.014327,3.014327,-0.0,False,False
1784963794138,2026-07-25T07:16:34.138Z,binance_unified,62422.57,384418.26,20721.36,87873.65,3.012475,3.012475,-0.0,False,False
1784963798804,2026-07-25T07:16:38.804Z,binance_unified,62615.3,384420.69,20693.63,87832.08,3.025825,3.025825,-0.0,False,False
1784963803805,2026-07-25T07:16:43.805Z,binance_unified,62629.5,384424.64,20690.24,87829.93,3.027006,3.027006,0.0,False,False
1784963808804,2026-07-25T07:16:48.804Z,binance_unified,62679.51,384538.8,20685.26,87824.06,3.030154,3.030154,-0.0,False,False
1784963813805,2026-07-25T07:16:53.805Z,binance_unified,62686.3,384504.23,20680.46,87822.25,3.031185,3.031185,0.0,False,False
1784963818804,2026-07-25T07:16:58.804Z,binance_unified,62649.78,384557.28,20687.73,87833.4,3.028354,3.028354,0.0,False,False
1784963823804,2026-07-25T07:17:03.804Z,binance_unified,62222.36,384411.45,20743.97,87926.17,2.999539,2.999539,0.0,False,False
1784963828804,2026-07-25T07:17:08.804Z,binance_unified,62077.77,384354.97,20763.77,87954.74,2.989715,2.989715,-0.0,False,False
1784963833804,2026-07-25T07:17:13.804Z,binance_unified,61822.05,384279.63,20797.85,88009.11,2.972522,2.972522,0.0,False,False
1784963838805,2026-07-25T07:17:18.805Z,binance_unified,61799.66,384264.02,20824.88,88052.33,2.967588,2.967588,0.0,False,False
1784963843804,2026-07-25T07:17:23.804Z,binance_unified,61923.88,384305.32,20807.69,88024.42,2.97601,2.97601,-0.0,False,False
1784963848804,2026-07-25T07:17:28.804Z,binance_unified,62430.22,384315.07,20811.03,88037.88,2.999863,2.999863,0.0,False,False
1784963853804,2026-07-25T07:17:33.804Z,binance_unified,62321.48,384341.75,20831.5,88064.31,2.991694,2.991694,0.0,False,False
1784963858805,2026-07-25T07:17:38.805Z,binance_unified,62383.19,384249.89,20820.91,88050.69,2.99618,2.99618,0.0,False,False
1784963863807,2026-07-25T07:17:43.807Z,binance_unified,62334.86,384383.17,20834.12,88065.3,2.99196,2.99196,0.0,False,False
1784963868805,2026-07-25T07:17:48.805Z,binance_unified,62523.05,384450.5,20810.12,88016.4,3.004454,3.004454,0.0,False,False
1784963873805,2026-07-25T07:17:53.805Z,binance_unified,62524.14,384517.47,20810.66,88015.24,3.004428,3.004428,-0.0,False,False
1784963878804,2026-07-25T07:17:58.804Z,binance_unified,62635.38,384571.14,20794.87,87991.24,3.012058,3.012058,-0.0,False,False
1784963883804,2026-07-25T07:18:03.804Z,binance_unified,62774.96,384740.6,20779.32,87966.24,3.02103,3.02103,-0.0,False,False
